id,name,movietitle,dialogues,budget,source
28,Missing,Harry Potter and the Chamber of Secrets,So sorry- dozed off- what have I missed?,"$100,000,000 ",denum
1,Ollivanders,Harry Potter and the Philosopher's Stone,And...who owned that wand?,"$125,000,000 ",denum
21,Letters from No One,Harry Potter and the Philosopher's Stone,No more mail through this letterbox.,"$125,000,000 ",denum
1,Snape's Worst Memory,Harry Potter and the Order of the Phoenix,"No, of course not!","$150,000,000 ",denum
2,Tea Leaves,Harry Potter and the Prisoner of Azkaban,You don't think that Grim thing's got anything to do with Sirius Black?,"$130,000,000 ",denum
1,Ministry Interior,Harry Potter and the Deathly Hallows Part 1,Ron's been coming here since he was two years old.  It's us you should be worrying about.,"$200,000,000 ",denum
4,The Lost Prophecy,Harry Potter and the Order of the Phoenix,"Haven't you wondered why I haven't spoken to you, even looked at you, for months?","$150,000,000 ",denum
26,The Burrow,Harry Potter and the Chamber of Secrets,"Well, you'd best hope that I don't put bars on your window, Ronald Weasley! Come on Harry, time for a spot of breakfast. Here we are Harry. Now tuck in! That's it. There we go.","$100,000,000 ",denum
1,Whomping Willow,Harry Potter and the Chamber of Secrets,Ahh!,"$100,000,000 ",denum
8,Liquid Luck,Harry Potter and the Half-Blood Prince,It's nearly nightfall.  Surely you realize I can't allow you to roam the grounds all by yourself.,"$250,000,000 ",denum
21,Letters from No One,Harry Potter and the Philosopher's Stone,"Fine day Sunday. In my opinion, best day of the week. Why is that, Dudley?","$125,000,000 ",denum
32,Petunia Dursley,Human,NULL,NULL,character
25,That's For My Father,Harry Potter and the Half-Blood Prince,It's alright.  I enjoyed our walk. It was like being with a friend.,"$250,000,000 ",denum
1,The Sorting Hat,Harry Potter and the Philosopher's Stone,Ahh!,"$125,000,000 ",denum
3,Out of the Fire,Harry Potter and the Order of the Phoenix,We'll also need to keep everyone away from her office.,"$150,000,000 ",denum
1,Cursed Necklace,Harry Potter and the Half-Blood Prince,I... just... know.,"$250,000,000 ",denum
3,Witnesses to an Execution,Harry Potter and the Prisoner of Azkaban,That felt good.,"$130,000,000 ",denum
4,Dobby's Reward,Harry Potter and the Chamber of Secrets,I beg your pardon?,"$100,000,000 ",denum
1,The Mirror of Erised,Harry Potter and the Philosopher's Stone,"There's something you've got to see. Now, come on!","$125,000,000 ",denum
2,Wizard's Chess,Harry Potter and the Philosopher's Stone,"It's obvious, isn't it? We've got to play our way across the room. All right. Harry, you take the Bishop's square. Hermione, you'll be the Queen's side castle. As for me, I'll be a knight.","$125,000,000 ",denum
33,The Dark Mark,Harry Potter and the Goblet of Fire,Do not lie! You have been discovered at the scene of the crime!,"$150,000,000 ",denum
24,Heir of Slytherin,Harry Potter and the Chamber of Secrets,She won't wake.,"$100,000,000 ",denum
20,Felix Felicis,Harry Potter and the Half-Blood Prince,What's gotten into him?,"$250,000,000 ",denum
17,Saving Lives,Harry Potter and the Prisoner of Azkaban,"But where is it? I saw the beast, just now. Not a moment ago!","$130,000,000 ",denum
43,Malfoy Manor,Harry Potter and the Deathly Hallows Part 1,There's no way out of here. We've tried everything. It's enchanted.,"$200,000,000 ",denum
3,Godric's Hollow,Harry Potter and the Deathly Hallows Part 1,I still think we should've used Polyjuice Potion.,"$200,000,000 ",denum
1,Hogwarts Reunion,Harry Potter and the Deathly Hallows Part 2,The Carrows?,"$250,000,000 ",denum
1,The Wedding,Harry Potter and the Deathly Hallows Part 1,"Nice to meet you, sir.","$200,000,000 ",denum
36,The Third Task,Harry Potter and the Goblet of Fire,Get off me!,"$150,000,000 ",denum
2,Luna Lovegood,Harry Potter and the Order of the Phoenix,"Come on, lets go back downstairs!","$150,000,000 ",denum
38,Tea Leaves,Harry Potter and the Prisoner of Azkaban,"Give me the cup. Oh, my dear boy. My dear... you have the Grim.","$130,000,000 ",denum
6,Dueling Club,Harry Potter and the Chamber of Secrets,"Perhaps it would be prudent to first teach the students to block unfriendly spells, Professor.","$100,000,000 ",denum
1,Hogwarts Reunion,Harry Potter and the Deathly Hallows Part 2,I realize it's not much to go on.,"$250,000,000 ",denum
70,The Boy Who Lived,Harry Potter and the Deathly Hallows Part 2,Quiet!,"$250,000,000 ",denum
1,The Egg's Clue,Harry Potter and the Goblet of Fire,Myrtle!,"$150,000,000 ",denum
