"spellid","charactername","species","gender","house","patronus","incantation","spellname","light","chaptername","movietitle","runtime","budget","placeid","dialogues"
4,"Albus Dumbledore","Human","Male","Gryffindor","Phoenix","Alohomora","Unlocking Charm","Blue","Doorstep Delivery","Harry Potter and the Philosopher's Stone","152","$125,000,000 ",8,"I should have known that you would be here...Professor McGonagall."
7,"Minerva McGonagall","Human","Female","Gryffindor","Cat","Avada Kedavra","Killing Curse","Green","Doorstep Delivery","Harry Potter and the Philosopher's Stone","152","$125,000,000 ",8,"Good evening, Professor Dumbledore. Are the rumours true, Albus?"
4,"Albus Dumbledore","Human","Male","Gryffindor","Phoenix","Alohomora","Unlocking Charm","Blue","Doorstep Delivery","Harry Potter and the Philosopher's Stone","152","$125,000,000 ",8,"I'm afraid so, Professor. The good, and the bad."
7,"Minerva McGonagall","Human","Female","Gryffindor","Cat","Avada Kedavra","Killing Curse","Green","Doorstep Delivery","Harry Potter and the Philosopher's Stone","152","$125,000,000 ",8,"And the boy?"
4,"Albus Dumbledore","Human","Male","Gryffindor","Phoenix","Alohomora","Unlocking Charm","Blue","Doorstep Delivery","Harry Potter and the Philosopher's Stone","152","$125,000,000 ",8,"Hagrid is bringing him."
7,"Minerva McGonagall","Human","Female","Gryffindor","Cat","Avada Kedavra","Killing Curse","Green","Doorstep Delivery","Harry Potter and the Philosopher's Stone","152","$125,000,000 ",8,"Do you think it wise to trust Hagrid with something as important as this?"
4,"Albus Dumbledore","Human","Male","Gryffindor","Phoenix","Alohomora","Unlocking Charm","Blue","Doorstep Delivery","Harry Potter and the Philosopher's Stone","152","$125,000,000 ",8,"Ah, Professor, I would trust Hagrid with my life."
5,"Rubeus Hagrid","Half-Human/Half-Giant","Male","Gryffindor",NULL,"Arania Exumai","Spider repelling spell","Blue","Doorstep Delivery","Harry Potter and the Philosopher's Stone","152","$125,000,000 ",8,"Professor Dumbledore, Sir. Professor McGonagall."
4,"Albus Dumbledore","Human","Male","Gryffindor","Phoenix","Alohomora","Unlocking Charm","Blue","Doorstep Delivery","Harry Potter and the Philosopher's Stone","152","$125,000,000 ",8,"No problems, I trust, Hagrid?"
5,"Rubeus Hagrid","Half-Human/Half-Giant","Male","Gryffindor",NULL,"Arania Exumai","Spider repelling spell","Blue","Doorstep Delivery","Harry Potter and the Philosopher's Stone","152","$125,000,000 ",8,"No, sir. Little tyke fell asleep just as we were flying over Bristol. Heh. Try not to wake him. There you go."
7,"Minerva McGonagall","Human","Female","Gryffindor","Cat","Avada Kedavra","Killing Curse","Green","Doorstep Delivery","Harry Potter and the Philosopher's Stone","152","$125,000,000 ",8,"Albus, do you really think it's safe, leaving him with these people? I've watched them all day. They're the worst sort of Muggles imaginable. They really are..."
4,"Albus Dumbledore","Human","Male","Gryffindor","Phoenix","Alohomora","Unlocking Charm","Blue","Doorstep Delivery","Harry Potter and the Philosopher's Stone","152","$125,000,000 ",8,"The only family he has."
